year,target_mt,bau_mt,heat_pump_mt,ncc_h2_mt,ncc_elec_mt,total_deployed_mt,actual_emissions_mt,shortfall_mt
2025,52.0,52.00000000000003,2.842170943040401e-14,0.0,0.0,2.842170943040401e-14,52.0,0.0
2026,50.4,51.85116444444448,1.4511644444444798,0.0,0.0,1.4511644444444798,50.4,0.0
2027,48.8,51.70232888888892,2.902328888888924,0.0,0.0,2.902328888888924,48.8,0.0
2028,47.2,51.55349333333336,3.8851907313962215,0.0,0.0,3.8851907313962215,47.668302601937135,0.4683026019371326
2029,43.6,51.40465777777781,3.8851907313962215,0.0,0.0,3.8851907313962215,47.519467046381585,3.919467046381584
2030,41.47,51.25582222222226,3.8851907313962215,5.900631490826036,0.0,9.785822222222258,41.47,0.0
2031,39.5,51.1069866666667,3.8851907313962215,7.721795935270478,0.0,11.6069866666667,39.5,0.0
2032,37.5,50.95815111111114,3.8851907313962215,9.572960379714921,0.0,13.458151111111142,37.5,0.0
2033,35.5,50.809315555555585,3.8851907313962215,11.424124824159364,0.0,15.309315555555585,35.5,0.0
2034,33.5,50.660480000000035,3.8851907313962215,13.275289268603814,0.0,17.160480000000035,33.5,0.0
2035,31.5,50.51164444444448,3.8851907313962215,15.126453713048257,0.0,19.011644444444478,31.5,0.0
2036,29.0,50.36280888888892,3.8851907313962215,17.4776181574927,0.0,21.36280888888892,29.0,0.0
2037,26.5,50.21397333333336,3.8851907313962215,19.828782601937135,0.0,23.713973333333357,26.5,0.0
2038,24.0,50.065137777777814,3.8851907313962215,22.179947046381592,0.0,26.065137777777814,24.0,0.0
2039,21.5,49.91630222222225,3.8851907313962215,24.531111490826028,0.0,28.41630222222225,21.5,0.0
2040,19.0,49.7674666666667,3.8851907313962215,26.882275935270478,0.0,30.7674666666667,19.0,0.0
2041,16.5,49.61863111111114,3.8851907313962215,29.23344037971492,0.0,33.11863111111114,16.5,0.0
2042,14.0,49.469795555555585,3.8851907313962215,31.584604824159364,0.0,35.469795555555585,14.0,0.0
2043,11.5,49.32096000000003,3.8851907313962215,33.935769268603806,0.0,37.82096000000003,11.5,0.0
2044,9.0,49.17212444444448,3.8851907313962215,36.286933713048256,0.0,40.17212444444448,9.0,0.0
2045,7.0,49.02328888888892,3.8851907313962215,37.60323707441514,0.5348610830775584,42.02328888888892,7.0,0.0
2046,5.5,48.87445333333336,3.8851907313962215,37.60323707441514,1.8860255275220013,43.37445333333336,5.5,0.0
2047,4.0,48.725617777777806,3.8851907313962215,37.60323707441514,3.237189971966444,44.725617777777806,4.0,0.0
2048,2.5,48.576782222222256,3.8851907313962215,37.60323707441514,4.588354416410894,46.076782222222256,2.5,0.0
2049,1.5,48.4279466666667,3.8851907313962215,37.60323707441514,5.439518860855337,46.9279466666667,1.5,0.0
2050,0.5,48.27911111111114,3.8851907313962215,37.60323707441514,6.29068330529978,47.77911111111114,0.5,0.0
