year,target_mt,bau_mt,heat_pump_mt,ncc_h2_mt,ncc_elec_mt,total_deployed_mt,actual_emissions_mt,shortfall_mt
2025,52.0,52.00000000000003,2.842170943040401e-14,0.0,0.0,2.842170943040401e-14,52.0,0.0
2026,50.0,51.85116444444448,1.8511644444444784,0.0,0.0,1.8511644444444784,50.0,0.0
2027,48.0,51.70232888888892,3.702328888888921,0.0,0.0,3.702328888888921,48.0,0.0
2028,46.0,51.55349333333336,3.8851907313962215,0.0,0.0,3.8851907313962215,47.668302601937135,1.6683026019371354
2029,44.0,51.40465777777781,3.8851907313962215,0.0,0.0,3.8851907313962215,47.519467046381585,3.5194670463815854
2030,42.0,51.25582222222226,3.8851907313962215,5.370631490826035,0.0,9.255822222222257,42.0,0.0
2031,40.0,51.1069866666667,3.8851907313962215,7.221795935270478,0.0,11.1069866666667,40.0,0.0
2032,38.0,50.95815111111114,3.8851907313962215,9.072960379714921,0.0,12.958151111111142,38.0,0.0
2033,36.0,50.809315555555585,3.8851907313962215,10.924124824159364,0.0,14.809315555555585,36.0,0.0
2034,34.0,50.660480000000035,3.8851907313962215,12.775289268603814,0.0,16.660480000000035,34.0,0.0
2035,32.0,50.51164444444448,3.8851907313962215,14.626453713048257,0.0,18.511644444444478,32.0,0.0
2036,30.0,50.36280888888892,3.8851907313962215,16.4776181574927,0.0,20.36280888888892,30.0,0.0
2037,28.0,50.21397333333336,3.8851907313962215,18.328782601937135,0.0,22.213973333333357,28.0,0.0
2038,26.0,50.065137777777814,3.8851907313962215,20.179947046381592,0.0,24.065137777777814,26.0,0.0
2039,24.0,49.91630222222225,3.8851907313962215,22.031111490826028,0.0,25.91630222222225,24.0,0.0
2040,22.0,49.7674666666667,3.8851907313962215,23.882275935270478,0.0,27.7674666666667,22.0,0.0
2041,20.0,49.61863111111114,3.8851907313962215,25.73344037971492,0.0,29.618631111111142,20.0,0.0
2042,18.0,49.469795555555585,3.8851907313962215,27.584604824159364,0.0,31.469795555555585,18.0,0.0
2043,16.0,49.32096000000003,3.8851907313962215,29.435769268603806,0.0,33.32096000000003,16.0,0.0
2044,14.0,49.17212444444448,3.8851907313962215,31.286933713048256,0.0,35.17212444444448,14.0,0.0
2045,12.0,49.02328888888892,3.8851907313962215,33.1380981574927,0.0,37.02328888888892,12.0,0.0
2046,10.0,48.87445333333336,3.8851907313962215,34.98926260193714,0.0,38.87445333333336,10.0,0.0
2047,8.0,48.725617777777806,3.8851907313962215,36.840427046381585,0.0,40.725617777777806,8.0,0.0
2048,6.0,48.576782222222256,3.8851907313962215,37.60323707441514,1.088354416410894,42.576782222222256,6.0,0.0
2049,4.0,48.4279466666667,3.8851907313962215,37.60323707441514,2.939518860855337,44.4279466666667,4.0,0.0
2050,2.0,48.27911111111114,3.8851907313962215,37.60323707441514,4.79068330529978,46.27911111111114,2.0,0.0
