year,target_mt,bau_mt,heat_pump_mt,ncc_h2_mt,ncc_elec_mt,re_ppa_mt,h2_consumption_kt,electricity_consumption_increase_twh,total_deployed_mt,actual_emissions_mt,shortfall_mt,cumulative_capex_musd
2025,52.0,52.008315837837834,0.008315837837834295,0.0,0.0,0.0,0.0,3.866864594592947e-05,0.008315837837834295,52.0,0.0,7.484254054050866
2026,50.8,52.63737248651651,0.8212813559193112,0.0,0.0,1.0160911305972031,0.0,0.0038189583050247974,1.8373724865165144,50.8,0.0,709.8864616764469
2027,49.6,53.26196406852853,0.8334185188146704,0.0,0.0,2.828545549713856,0.0,0.0038753961124882177,3.661964068528526,49.6,0.0,719.9360325538044
2028,48.4,53.93365239304504,0.8463648259030537,0.0,0.0,4.6872875671419845,0.0,0.0039355964404492,5.533652393045038,48.4,0.0,730.1895077678039
2029,47.2,54.54916500616817,0.858501988798413,0.0,0.0,6.490663017369751,0.0,0.00399203424791262,7.349165006168164,47.2,0.0,739.3652029166955
2030,46.0,55.21147669068469,0.8714482958867962,0.0,0.6642871078806158,7.675741286917279,0.0,3.5247739063431376,9.211476690684691,46.0,0.0,1577.7168546553398
2031,44.8,55.766795032414414,0.8827763145891315,0.0,2.3299911284307435,7.754027589394542,0.0,12.35305789054578,10.966795032414417,44.8,0.0,3609.832649556894
2032,43.6,56.31794597858858,0.8941043332914669,0.0,4.069814055902572,7.754027589394542,0.0,21.57417208143344,12.717945978588581,43.6,0.0,5674.747643791981
2033,42.4,56.8649295292072,0.9054323519938022,0.0,5.80546958781886,7.754027589394542,0.0,30.77319907587673,14.464929529207204,42.4,0.0,7677.601703738701
2034,41.2,57.458414480108104,0.9175695148891614,0.0,7.586817375824397,7.754027589394542,0.0,40.21439879011355,16.2584144801081,41.2,0.0,9674.875794939479
2035,40.0,58.047434364342344,0.9297066777845208,0.0,9.363700097163282,7.754027589394542,0.0,49.63193365101709,18.047434364342344,40.0,0.0,11608.663077494904
2036,38.4,58.430504683002994,0.9386072639077842,0.0,11.337869829700669,7.754027589394542,0.0,60.09507462119072,20.030504683002995,38.4,0.0,13689.357459045643
2037,36.8,58.86052290861261,0.9483169942240716,0.0,13.358178324993997,7.754027589394542,0.0,70.80275479649131,22.06052290861261,36.8,0.0,15752.607210460243
2038,35.2,59.23689562727328,0.9572175803473352,0.0,15.325650457531395,7.754027589394542,0.0,81.230398486665,24.036895627273275,35.2,0.0,17696.874481896102
2039,33.6,59.65991858177178,0.9669273106636226,0.0,17.338963681713608,7.754027589394542,0.0,91.90100372507672,26.059918581771772,33.60000000000001,7.105427357601002e-15,19620.5773514134
2040,32.0,60.07936948293693,0.97663704097991,0.0,19.34870485256248,7.754027589394542,0.0,102.55267708082171,28.079369482936933,32.0,0.0,21474.782482965158
2041,30.0,60.39599443687087,0.9847284829101496,0.0,21.65723836456618,7.754027589394542,0.0,114.78794231964628,30.395994436870872,30.0,0.0,23564.14650667186
2042,28.0,60.660164568300296,0.992010780647365,0.0,23.303339667999996,8.364814119652934,0.0,123.51231309053,32.660164568300296,28.0,0.0,25027.052061454422
2043,26.0,60.97098493556757,1.0001022225776046,2.084355405546998,23.493415848,8.393111459442967,1.1657468711112966,124.51975446973499,34.97098493556757,26.0,0.0,26836.297301944574
2044,24.0,61.27882859172372,1.0081936645078442,4.170489560587683,23.683492028,8.416653338628196,2.332488568561344,125.52719584893995,37.27882859172372,24.0,0.0,28614.97061146166
2045,22.0,61.583695536768765,1.0162851064380836,6.256826388413731,23.873568208,8.437015833916952,3.499343617681058,126.53463722814493,39.583695536768765,22.0,0.0,30361.826481382664
2046,19.6,61.690054694018016,1.0211399715962273,8.644284972504835,23.987613916,8.437015833916952,4.834611282161541,127.13910205566792,42.090054694018015,19.6,0.0,32237.319316768
2047,17.2,61.84336175821621,1.0268039809473948,11.058874701351872,24.120667241999996,8.437015833916952,6.185052964961898,127.8443110211114,44.643361758216216,17.199999999999996,0.0,34113.49005081371
2048,14.8,61.94600002657657,1.0316588461055387,13.442612396554082,24.23471295,8.437015833916952,7.51823959538819,128.44877584863437,47.14600002657657,14.799999999999997,0.0,35916.68940205209
2049,12.4,62.09528853077478,1.0373228554567064,15.853183565401121,24.367766276,8.437015833916952,8.866433761410024,129.15398481407786,49.69528853077478,12.399999999999999,0.0,37719.00837362841
2050,10.0,62.19420591024625,1.04217772061485,18.233200371714442,24.481811984,8.437015833916952,10.197539357782127,129.75844964160083,52.19420591024625,10.0,0.0,39450.11903844429
