location,emissions_tco2,energy_gj,capacity_kt,num_facilities,emissions_mt,energy_pj
Busan/Iksan/Siheung,1922.384451862407,1537.9075614899261,530,1,0.0019223844518624072,0.0015379075614899262
Daesan,17729873.914064154,366685577.77621907,27424,57,17.729873914064154,366.6855777762191
Gimcheon,0.0,0.0,0,1,0.0,0.0
Gumi,188.6113047110286,150.88904376882292,52,1,0.00018861130471102859,0.00015088904376882293
Gunsan,1347.316410518103,1077.8531284144824,330,3,0.0013473164105181031,0.0010778531284144823
Gwangyang,34164.107051064886,1617196.983288504,390,3,0.03416410705106489,1.617196983288504
Incheon,82017.05545999385,3831085.033533487,2100,2,0.08201705545999385,3.831085033533487
Jeonju,754.4452188441144,603.5561750752917,208,3,0.0007544452188441143,0.0006035561750752917
Naju,652.8852855381759,522.3082284305409,180,2,0.000652885285538176,0.000522308228430541
Onsan,5131402.299674009,107802959.34955175,7331,14,5.131402299674009,107.80295934955176
Pohang,362.7140475212088,290.1712380169671,100,2,0.0003627140475212088,0.0002901712380169671
Ulsan,7967000.792734389,164361595.88883233,24105,71,7.967000792734389,164.36159588883234
Yeosu,21051111.013709683,443319708.82010967,37216,87,21.051111013709683,443.31970882010967
진해,513.0741012193226,410.45928097545806,100,1,0.0005130741012193226,0.0004104592809754581
