product_group,book_value_musd,total_stranded_musd,retirement_loss_musd,retrofit_capex_musd,operational_loss_musd,capacity_kt,total_emissions_kt,stranding_rate_pct,scenario
Aromatics,3310.8133333333335,1225.88,498.2,0.0,727.6800000000001,14374,5082.718864713267,37.02655138113092,scenarios_shaheen_ncc_h2
Intermediates,215.06666666666666,154.58666666666667,128.66666666666666,0.0,25.919999999999998,2955,10.718200104251723,71.87848729076256,scenarios_shaheen_ncc_h2
Olefins,8117.92,26462.477184305193,5150.16,20446.949184305195,865.3679999999999,25317,46313.577122921655,325.9760774226057,scenarios_shaheen_ncc_h2
Other,2009.2666666666667,773.4837364831577,531.52,52.611736483157635,189.352,39315,477.60679547597147,38.49582284497616,scenarios_shaheen_ncc_h2
Polymers,2228.173333333333,1256.5626666666667,972.8666666666667,0.0,283.69599999999997,18105,123.69485462268808,56.39429607511086,scenarios_shaheen_ncc_h2
Aromatics,3310.8133333333335,1851.68,1392.2,0.0,459.48,14374,5082.718864713267,55.92825126555005,scenarios_shaheen_ncc_elec
Intermediates,215.06666666666666,215.06666666666666,215.06666666666666,0.0,0.0,2955,10.718200104251723,100.0,scenarios_shaheen_ncc_elec
Olefins,8117.92,28069.88438614934,4840.24,22271.30038614934,958.3439999999999,25317,46313.577122921655,345.77680472521706,scenarios_shaheen_ncc_elec
Other,2009.2666666666667,927.4197364831576,762.76,52.611736483157635,112.04799999999999,39315,477.60679547597147,46.15712547611853,scenarios_shaheen_ncc_elec
Polymers,2228.173333333333,1743.8546666666666,1624.4266666666667,0.0,119.428,18105,123.69485462268808,78.26386935785965,scenarios_shaheen_ncc_elec
Aromatics,3310.8133333333335,1145.52,383.4,0.0,762.12,14374,5082.718864713267,34.59935323042475,scenarios_restructure_25pct_ncc_h2
Intermediates,215.06666666666666,154.58666666666667,128.66666666666666,0.0,25.919999999999998,2955,10.718200104251723,71.87848729076256,scenarios_restructure_25pct_ncc_h2
Olefins,8117.92,15489.173466395554,1103.44,12285.949466395556,2099.784,25317,46313.577122921655,190.80224326422967,scenarios_restructure_25pct_ncc_h2
Other,2009.2666666666667,511.1807912259669,316.64000000000004,31.61279122596691,162.928,39315,477.60679547597147,25.44116217654701,scenarios_restructure_25pct_ncc_h2
Polymers,2228.173333333333,760.9213333333333,386.7333333333333,0.0,374.188,18105,123.69485462268808,34.15000628317366,scenarios_restructure_25pct_ncc_h2
Aromatics,3310.8133333333335,1145.52,383.4,0.0,762.12,14374,5082.718864713267,34.59935323042475,scenarios_restructure_25pct_ncc_elec
Intermediates,215.06666666666666,215.06666666666666,215.06666666666666,0.0,0.0,2955,10.718200104251723,100.0,scenarios_restructure_25pct_ncc_elec
Olefins,8117.92,16179.77057985147,1103.44,13382.146579851471,1694.184,25317,46313.577122921655,199.30931297489346,scenarios_restructure_25pct_ncc_elec
Other,2009.2666666666667,829.868791225967,642.6,31.61279122596691,155.656,39315,477.60679547597147,41.302073288395455,scenarios_restructure_25pct_ncc_elec
Polymers,2228.173333333333,1709.1626666666666,1574.8666666666668,0.0,134.296,18105,123.69485462268808,76.7068989246797,scenarios_restructure_25pct_ncc_elec
Aromatics,3310.8133333333335,1145.52,383.4,0.0,762.12,14374,5082.718864713267,34.59935323042475,scenarios_restructure_40pct_ncc_h2
Intermediates,215.06666666666666,154.58666666666667,128.66666666666666,0.0,25.919999999999998,2955,10.718200104251723,71.87848729076256,scenarios_restructure_40pct_ncc_h2
Olefins,8117.92,13871.19748746358,1103.44,10667.97348746358,2099.784,25317,46313.577122921655,170.8713252589774,scenarios_restructure_40pct_ncc_h2
Other,2009.2666666666667,542.3364665563054,360.64000000000004,33.88846655630538,147.808,39315,477.60679547597147,26.991761499534096,scenarios_restructure_40pct_ncc_h2
Polymers,2228.173333333333,1005.416,665.8,0.0,339.616,18105,123.69485462268808,45.12288092488317,scenarios_restructure_40pct_ncc_h2
Aromatics,3310.8133333333335,1145.52,383.4,0.0,762.12,14374,5082.718864713267,34.59935323042475,scenarios_restructure_40pct_ncc_elec
Intermediates,215.06666666666666,215.06666666666666,215.06666666666666,0.0,0.0,2955,10.718200104251723,100.0,scenarios_restructure_40pct_ncc_elec
Olefins,8117.92,14372.936897121393,1103.44,11619.808897121395,1649.6879999999999,25317,46313.577122921655,177.05196524628715,scenarios_restructure_40pct_ncc_elec
Other,2009.2666666666667,891.3831332229721,727.2266666666667,33.88846655630538,130.268,39315,477.60679547597147,44.36360528997174,scenarios_restructure_40pct_ncc_elec
Polymers,2228.173333333333,1728.4266666666667,1602.3866666666668,0.0,126.03999999999999,18105,123.69485462268808,77.57146362042451,scenarios_restructure_40pct_ncc_elec
