company,location,product,product_group,process,capacity_kt,year_built,facility_age,remaining_life,initial_capex_musd,book_value_musd,emission_intensity,emissions_year_kt,required_reduction_kt,required_reduction_pct,must_retire,stranded_book_value_musd
Lotte Chemical,Daesan,Ethylene,Olefins,Naphtha Cracker,1100,1991,34,0,1320.0,0.0,1.837298318853149,2603.084258151142,804.4807477789221,30.904906180421143,False,0.0
HD Hyundai Chemical,Daesan,Ethylene,Olefins,Naphtha Cracker,850,2021,4,26,1020.0,884.0,1.837298318853149,2011.4741994804276,621.6442141928034,30.904906180421143,False,0.0
LG Chem,Daesan,Ethylene,Olefins,Naphtha Cracker,1300,1991,34,0,1560.0,0.0,1.837298318853149,3076.372305087713,950.749974647817,30.904906180421143,False,0.0
Hanwha TotalEnergies,Daesan,Ethylene,Olefins,Naphtha Cracker,1525,1991,34,0,1830.0,0.0,1.8372983188531489,3608.821357891355,1115.3028548753236,30.904906180421143,False,0.0
Lotte Chemical,Yeosu,Ethylene,Olefins,Naphtha Cracker,1230,1992,33,0,1476.0,0.0,1.8372983188531486,2910.721488659912,899.5557452437035,30.904906180421143,False,0.0
LG Chem,Yeosu,Ethylene,Olefins,Naphtha Cracker,1030,2021,4,26,1236.0,1071.2,1.8372983188531486,2437.4334417233413,753.2865183748087,30.904906180421143,False,0.0
Yeochon NCC,Yeosu,Ethylene,Olefins,Naphtha Cracker,2285,1979,46,0,2742.0,0.0,1.8372983188531489,5407.315936250326,1671.1259169771242,30.904906180421143,False,0.0
GS Caltex,Yeosu,Ethylene,Olefins,Naphtha Cracker,900,2021,4,26,1080.0,936.0,1.8372983188531484,2129.7962112145697,658.2115209100269,30.904906180421143,False,0.0
Daehan Oil Chemical,Onsan,Ethylene,Olefins,Naphtha Cracker,900,1991,34,0,1080.0,0.0,1.8372983188531484,2129.7962112145697,658.2115209100269,30.904906180421143,False,0.0
S-Oil,Onsan,Ethylene,Olefins,Naphtha Cracker,182,2018,7,23,218.4,167.44000000000003,1.8372983188531486,430.69212271227974,133.10499645069436,30.904906180421143,False,0.0
SK Geocentric,Ulsan,Ethylene,Olefins,Naphtha Cracker,660,1989,36,0,792.0,0.0,1.8372983188531489,1561.8505548906849,482.6884486673532,30.904906180421143,False,0.0
Lotte Chemical,Daesan,Propylene,Olefins,Naphtha Cracker,550,1997,28,2,660.0,44.0,1.7500610700982102,1239.743262057572,1239.743262057572,100.0,True,44.0
HDHyundai Oilbank,Daesan,Propylene,Olefins,Naphtha Cracker,420,2011,14,16,504.0,268.8,1.75006107009821,946.7130364803278,292.5807757220615,30.904906180421143,False,0.0
HD Hyundai Chemical,Daesan,Propylene,Olefins,Naphtha Cracker,451,2021,4,26,541.1999999999999,469.03999999999996,1.7500610700982102,1016.5894748872091,314.17602345392794,30.904906180421143,False,0.0
LG Chem,Daesan,Propylene,Olefins,Naphtha Cracker,680,1991,34,0,816.0,0.0,1.7500610700982098,1532.773487634816,473.702208311909,30.904906180421143,False,0.0
Hanwha TotalEnergies,Daesan,Propylene,Olefins,Naphtha Cracker,1064,1991,34,0,1276.8,0.0,1.75006107009821,2398.33969241683,741.2046318292223,30.904906180421143,False,0.0
Lotte Chemical,Yeosu,Propylene,Olefins,Naphtha Cracker,641,1992,33,0,769.1999999999999,0.0,1.75006107009821,1444.8644199616429,446.53399342343187,30.904906180421143,False,0.0
LG Chem,Yeosu,Propylene,Olefins,Naphtha Cracker,1300,2021,4,26,1560.0,1352.0,1.7500610700982102,2930.3022557724435,905.6071629492382,30.904906180421143,False,0.0
Yeochon NCC,Yeosu,Propylene,Olefins,Naphtha Cracker,1289,1979,46,0,1546.8,0.0,1.7500610700982098,2905.507390531291,897.9443331088981,30.904906180421143,False,0.0
GS Caltex,Yeosu,Propylene,Olefins,Naphtha Cracker,970,2021,4,26,1164.0,1008.8000000000001,1.75006107009821,2186.4562985379,675.7222677390469,30.904906180421143,False,0.0
Daehan Oil Chemical,Onsan,Propylene,Olefins,Naphtha Cracker,560,1991,34,0,672.0,0.0,1.75006107009821,1262.2840486404368,390.1077009627486,30.904906180421143,False,0.0
S-Oil,Onsan,Propylene,Olefins,Naphtha Cracker,840,2018,7,23,1008.0,772.8000000000001,1.75006107009821,1893.4260729606556,585.161551444123,30.904906180421143,False,0.0
SK Advanced,Ulsan,Propylene,Olefins,Naphtha Cracker,600,2016,9,21,720.0,503.99999999999994,1.750061070098209,1352.4471949718961,417.9725367458019,30.904906180421143,False,0.0
SK Energy,Ulsan,Propylene,Olefins,Naphtha Cracker,620,1996,29,1,744.0,24.8,1.7500610700982098,1397.5287681376265,1397.5287681376265,100.0,True,24.8
SK Geocentric,Ulsan,Propylene,Olefins,Naphtha Cracker,380,1989,36,0,456.0,0.0,1.7500610700982095,856.5498901488677,264.7159399390079,30.904906180421143,False,0.0
Taekwang Industrial,Ulsan,Propylene,Olefins,Naphtha Cracker,300,1997,28,2,360.0,24.0,1.7500610700982095,676.2235974859482,676.2235974859482,100.0,True,24.0
Hyosung Chemical,Ulsan,Propylene,Olefins,Naphtha Cracker,500,1991,34,0,600.0,0.0,1.7500610700982095,1127.039329143247,348.3104472881683,30.904906180421143,False,0.0
Lotte Chemical,Daesan,Butadiene,Olefins,Naphtha Cracker,190,1997,28,2,228.0,15.2,2.1901291256409934,535.968399626864,535.968399626864,100.0,True,15.2
HD Hyundai Chemical,Daesan,Butadiene,Olefins,Naphtha Cracker,163,2021,4,26,195.6,169.52,2.190129125640993,459.8044691535726,142.10213980529508,30.904906180421143,False,0.0
LG Chem,Daesan,Butadiene,Olefins,Naphtha Cracker,200,1991,34,0,240.0,0.0,2.1901291256409934,564.17726276512,174.3584537488284,30.904906180421143,False,0.0
Hanwha TotalEnergies,Daesan,Butadiene,Olefins,Naphtha Cracker,150,1991,34,0,180.0,0.0,2.1901291256409934,423.13294707383994,130.7688403116213,30.904906180421143,False,0.0
Kumho Petrochemical,Yeosu,Butadiene,Olefins,Naphtha Cracker,147,1992,33,0,176.4,0.0,2.1901291256409934,414.6702881323631,128.15346350538886,30.904906180421143,False,0.0
Lotte GS Chemical,Yeosu,Butadiene,Olefins,Naphtha Cracker,130,2022,3,27,156.0,140.4,2.1901291256409934,366.71522079732796,113.33299493673844,30.904906180421143,False,0.0
Lotte Chemical,Yeosu,Butadiene,Olefins,Naphtha Cracker,160,2011,14,16,192.0,102.4,2.1901291256409934,451.34181021209594,451.34181021209594,100.0,True,102.4
LG Chem,Yeosu,Butadiene,Olefins,Naphtha Cracker,306,1991,34,0,367.2,0.0,2.1901291256409934,863.1912120306334,266.7684342357074,30.904906180421143,False,0.0
Yeochon NCC,Yeosu,Butadiene,Olefins,Naphtha Cracker,378,1992,33,0,453.59999999999997,0.0,2.190129125640993,1066.2950266260764,329.5374775852855,30.904906180421143,False,0.0
Kumho Petrochemical,Ulsan,Butadiene,Olefins,Naphtha Cracker,90,1979,46,0,108.0,0.0,2.1901291256409934,253.87976824430396,78.46130418697277,30.904906180421143,False,0.0
Daehan Oil Chemical,Ulsan,Butadiene,Olefins,Naphtha Cracker,146,2023,2,28,175.2,163.51999999999998,2.1901291256409934,411.84940181853756,127.28167123664473,30.904906180421143,False,0.0
SK Geocentric,Ulsan,Butadiene,Olefins,Naphtha Cracker,130,1989,36,0,156.0,0.0,2.1901291256409934,366.71522079732796,113.33299493673844,30.904906180421143,False,0.0
OCI,Gwangyang,Benzene,Aromatics,BTX Plant,200,1995,30,0,80.0,0.0,0.13669509243332306,35.21265581082402,10.882438241969776,30.904906180421143,False,0.0
Lotte Chemical,Daesan,Benzene,Aromatics,BTX Plant,240,2011,14,16,96.0,51.2,0.13669509243332306,42.255186972988824,13.058925890363732,30.904906180421143,False,0.0
