company,location,product,product_group,process,capacity_kt,year_built,facility_age,remaining_life,initial_capex_musd,book_value_musd,emission_intensity,emissions_year_kt,required_reduction_kt,required_reduction_pct,must_retire,stranded_book_value_musd
Lotte Chemical,Daesan,Ethylene,Olefins,Naphtha Cracker,1100,1991,34,0,1320.0,0.0,1.837298318853149,2603.084258151142,1599.2642884136471,61.437284767321955,False,0.0
HD Hyundai Chemical,Daesan,Ethylene,Olefins,Naphtha Cracker,850,2021,4,26,1020.0,884.0,1.837298318853149,2011.4741994804276,1235.795131956,61.437284767321955,False,0.0
LG Chem,Daesan,Ethylene,Olefins,Naphtha Cracker,1300,1991,34,0,1560.0,0.0,1.837298318853149,3076.372305087713,1890.0396135797648,61.437284767321955,False,0.0
Hanwha TotalEnergies,Daesan,Ethylene,Olefins,Naphtha Cracker,1525,1991,34,0,1830.0,0.0,1.8372983188531489,3608.821357891355,2217.161854391647,61.437284767321955,False,0.0
Lotte Chemical,Yeosu,Ethylene,Olefins,Naphtha Cracker,1230,1992,33,0,1476.0,0.0,1.8372983188531486,2910.721488659912,1788.2682497716232,61.437284767321955,False,0.0
LG Chem,Yeosu,Ethylene,Olefins,Naphtha Cracker,1030,2021,4,26,1236.0,1071.2,1.8372983188531486,2437.4334417233413,1497.4929246055056,61.437284767321955,False,0.0
Yeochon NCC,Yeosu,Ethylene,Olefins,Naphtha Cracker,2285,1979,46,0,2742.0,0.0,1.8372983188531489,5407.315936250326,3322.1080900228935,61.437284767321955,False,0.0
GS Caltex,Yeosu,Ethylene,Olefins,Naphtha Cracker,900,2021,4,26,1080.0,936.0,1.8372983188531484,2129.7962112145697,1308.4889632475288,61.437284767321955,False,0.0
Daehan Oil Chemical,Onsan,Ethylene,Olefins,Naphtha Cracker,900,1991,34,0,1080.0,0.0,1.8372983188531484,2129.7962112145697,1308.4889632475288,61.437284767321955,False,0.0
S-Oil,Onsan,Ethylene,Olefins,Naphtha Cracker,182,2018,7,23,218.4,167.44000000000003,1.8372983188531486,430.69212271227974,264.60554590116703,61.437284767321955,False,0.0
SK Geocentric,Ulsan,Ethylene,Olefins,Naphtha Cracker,660,1989,36,0,792.0,0.0,1.8372983188531489,1561.8505548906849,959.5585730481881,61.437284767321955,False,0.0
Lotte Chemical,Daesan,Propylene,Olefins,Naphtha Cracker,550,1997,28,2,660.0,44.0,1.7500610700982102,1239.743262057572,1239.743262057572,100.0,True,44.0
HDHyundai Oilbank,Daesan,Propylene,Olefins,Naphtha Cracker,420,2011,14,16,504.0,268.8,1.75006107009821,946.7130364803278,581.6347841517796,61.437284767321955,False,0.0
HD Hyundai Chemical,Daesan,Propylene,Olefins,Naphtha Cracker,451,2021,4,26,541.1999999999999,469.03999999999996,1.7500610700982102,1016.5894748872091,624.5649706010776,61.437284767321955,False,0.0
LG Chem,Daesan,Propylene,Olefins,Naphtha Cracker,680,1991,34,0,816.0,0.0,1.7500610700982098,1532.773487634816,941.6944124362143,61.437284767321955,False,0.0
Hanwha TotalEnergies,Daesan,Propylene,Olefins,Naphtha Cracker,1064,1991,34,0,1276.8,0.0,1.75006107009821,2398.33969241683,1473.4747865178413,61.437284767321955,False,0.0
Lotte Chemical,Yeosu,Propylene,Olefins,Naphtha Cracker,641,1992,33,0,769.1999999999999,0.0,1.75006107009821,1444.8644199616429,887.6854681935491,61.437284767321955,False,0.0
LG Chem,Yeosu,Propylene,Olefins,Naphtha Cracker,1300,2021,4,26,1560.0,1352.0,1.7500610700982102,2930.3022557724435,1800.2981414221751,61.437284767321955,False,0.0
Yeochon NCC,Yeosu,Propylene,Olefins,Naphtha Cracker,1289,1979,46,0,1546.8,0.0,1.7500610700982098,2905.507390531291,1785.0648494562947,61.437284767321955,False,0.0
GS Caltex,Yeosu,Propylene,Olefins,Naphtha Cracker,970,2021,4,26,1164.0,1008.8000000000001,1.75006107009821,2186.4562985379,1343.2993824457765,61.437284767321955,False,0.0
Daehan Oil Chemical,Onsan,Propylene,Olefins,Naphtha Cracker,560,1991,34,0,672.0,0.0,1.75006107009821,1262.2840486404368,775.5130455357059,61.437284767321955,False,0.0
S-Oil,Onsan,Propylene,Olefins,Naphtha Cracker,840,2018,7,23,1008.0,772.8000000000001,1.75006107009821,1893.4260729606556,1163.2695683035593,61.437284767321955,False,0.0
SK Advanced,Ulsan,Propylene,Olefins,Naphtha Cracker,600,2016,9,21,720.0,503.99999999999994,1.750061070098209,1352.4471949718961,830.9068345025418,61.437284767321955,False,0.0
SK Energy,Ulsan,Propylene,Olefins,Naphtha Cracker,620,1996,29,1,744.0,24.8,1.7500610700982098,1397.5287681376265,1397.5287681376265,100.0,True,24.8
SK Geocentric,Ulsan,Propylene,Olefins,Naphtha Cracker,380,1989,36,0,456.0,0.0,1.7500610700982095,856.5498901488677,526.2409951849432,61.437284767321955,False,0.0
Taekwang Industrial,Ulsan,Propylene,Olefins,Naphtha Cracker,300,1997,28,2,360.0,24.0,1.7500610700982095,676.2235974859482,676.2235974859482,100.0,True,24.0
Hyosung Chemical,Ulsan,Propylene,Olefins,Naphtha Cracker,500,1991,34,0,600.0,0.0,1.7500610700982095,1127.039329143247,692.4223620854516,61.437284767321955,False,0.0
Lotte Chemical,Daesan,Butadiene,Olefins,Naphtha Cracker,190,1997,28,2,228.0,15.2,2.1901291256409934,535.968399626864,535.968399626864,100.0,True,15.2
HD Hyundai Chemical,Daesan,Butadiene,Olefins,Naphtha Cracker,163,2021,4,26,195.6,169.52,2.190129125640993,459.8044691535726,282.49138108675345,61.437284767321955,False,0.0
LG Chem,Daesan,Butadiene,Olefins,Naphtha Cracker,200,1991,34,0,240.0,0.0,2.1901291256409934,564.17726276512,346.615191517489,61.437284767321955,False,0.0
Hanwha TotalEnergies,Daesan,Butadiene,Olefins,Naphtha Cracker,150,1991,34,0,180.0,0.0,2.1901291256409934,423.13294707383994,259.96139363811676,61.437284767321955,False,0.0
