DeploymentID,Technology,Region,Company,TechGroup,DeploymentFraction,DeployedCapacity_kt,AbatementContribution_MtCO2,Investment_Million_USD,LCOA_USD_per_tCO2
BTX_MT_HeatPump_Yeosu_LG_Chem,Heat pump,Yeosu,LG Chem,BTX,1.0,800.0,0.13392000000000018,56000.0,-271.3269432677155
BTX_MT_HeatPump_Yeosu_Lotte_Chemical,Heat pump,Yeosu,Lotte Chemical,BTX,1.0,700.0,0.11718000000000015,49000.0,-266.02882070952927
BTX_MT_HeatPump_Yeosu_GS_Caltex,Heat pump,Yeosu,GS Caltex,BTX,1.0,600.0,0.10044000000000013,42000.0,-258.9646572986143
BTX_MT_HeatPump_Daesan_HD_Hyundai,Heat pump,Daesan,HD Hyundai Chemical,BTX,1.0,500.0,0.08370000000000011,33250.0,-249.3080428748898
NCC_MT_HeatPump_Yeosu_LG_Chem,Heat pump,Yeosu,LG Chem,NCC,1.0,3380.0,0.7673951999999997,270400.0,-243.2886622043628
BTX_MT_HeatPump_Ulsan_KPIC,Heat pump,Ulsan,Korea Petrochemical Ind. Co.,BTX,1.0,400.0,0.06696000000000009,25200.0,-236.18998837981695
BTX_MT_HeatPump_Yeosu_Hanwha_Chemical,Heat pump,Yeosu,Hanwha Chemical,BTX,1.0,400.0,0.06696000000000009,28000.0,-234.24008536041208
NCC_MT_HeatPump_Yeosu_Lotte_Chemical,Heat pump,Yeosu,Lotte Chemical,NCC,1.0,1000.0,0.2270399999999999,80000.0,-225.6845022229434
NCC_MT_HeatPump_Yeosu_GS_Caltex,Heat pump,Yeosu,GS Caltex,NCC,1.0,900.0,0.20433599999999993,72000.0,-222.90662823894726
NCC_MT_HeatPump_Yeosu_Hanwha_Chemical,Heat pump,Yeosu,Hanwha Chemical,NCC,1.0,850.0,0.19298399999999993,68000.0,-221.27258471894953
NCC_MT_HeatPump_Ulsan_KPIC,Heat pump,Ulsan,Korea Petrochemical Ind. Co.,NCC,1.0,900.0,0.20433599999999993,64800.0,-221.2053392889125
NCC_MT_HeatPump_Daesan_HD_Hyundai,Heat pump,Daesan,HD Hyundai Chemical,NCC,1.0,850.0,0.19298399999999993,64600.0,-220.50364241993205
BTX_MT_HeatPump_Ulsan_SK_Innovation,Heat pump,Ulsan,SK Innovation,BTX,1.0,300.0,0.05022000000000006,18900.0,-213.93787363543495
BTX_MT_HeatPump_Daesan_LG_Chem,Heat pump,Daesan,LG Chem,BTX,1.0,300.0,0.05022000000000006,19950.0,-211.72669352882238
NCC_MT_HeatPump_Daesan_LG_Chem,Heat pump,Daesan,LG Chem,NCC,1.0,600.0,0.13622399999999993,45600.0,-208.8610823399482
NCC_MT_HeatPump_Ulsan_SK_Innovation,Heat pump,Ulsan,SK Innovation,NCC,1.0,500.0,0.11351999999999995,36000.0,-201.20464660414027
C4_MT_HeatPump_Yeosu_LG_Chem,Heat pump,Yeosu,LG Chem,C4,1.0,300.0,0.034883999999999915,25500.0,33.67473788622587
C4_MT_HeatPump_Yeosu_Lotte_Chemical,Heat pump,Yeosu,Lotte Chemical,C4,1.0,250.0,0.02906999999999993,21250.0,68.25195879228328
C4_MT_HeatPump_Daesan_HD_Hyundai,Heat pump,Daesan,HD Hyundai Chemical,C4,1.0,200.0,0.023255999999999943,16150.0,110.43096709146876
C4_MT_HeatPump_Yeosu_GS_Caltex,Heat pump,Yeosu,GS Caltex,C4,1.0,200.0,0.023255999999999943,17000.0,120.11779015136935
C4_MT_HeatPump_Ulsan_KPIC,Heat pump,Ulsan,Korea Petrochemical Ind. Co.,C4,1.0,150.0,0.017441999999999958,11475.0,178.5428910701973
NCC_HT_Hydrogen_Yeosu_LG_Chem,H2-furnace,Yeosu,LG Chem,NCC,1.0,3380.0,2.8909139999999987,1081600.0,195.83260889008955
NCC_HT_Electric_Yeosu_LG_Chem,E-cracker,Yeosu,LG Chem,NCC,1.0,3380.0,1.3942499999999989,946400.0,197.8660447368523
C4_MT_HeatPump_Yeosu_Hanwha_Chemical,Heat pump,Yeosu,Hanwha Chemical,C4,1.0,150.0,0.017441999999999958,12750.0,206.56084241651283
NCC_HT_Hydrogen_Yeosu_Lotte_Chemical,H2-furnace,Yeosu,Lotte Chemical,NCC,1.0,1000.0,0.8552999999999997,320000.0,214.52475659116033
NCC_HT_Hydrogen_Ulsan_KPIC,H2-furnace,Ulsan,Korea Petrochemical Ind. Co.,NCC,1.0,900.0,0.7697699999999997,259200.0,215.41650435733217
NCC_HT_Hydrogen_Yeosu_GS_Caltex,H2-furnace,Yeosu,GS Caltex,NCC,1.0,900.0,0.7697699999999997,288000.0,217.47431117704355
NCC_HT_Hydrogen_Daesan_HD_Hyundai,H2-furnace,Daesan,HD Hyundai Chemical,NCC,1.0,850.0,0.7270049999999998,258400.0,218.0936882710638
NCC_HT_Hydrogen_Yeosu_Hanwha_Chemical,H2-furnace,Yeosu,Hanwha Chemical,NCC,1.0,850.0,0.7270049999999998,272000.0,219.20934328638666
NCC_HT_Electric_Ulsan_KPIC,E-cracker,Ulsan,Korea Petrochemical Ind. Co.,NCC,1.0,900.0,0.37124999999999964,226800.0,228.69703442644536
NCC_HT_Hydrogen_Daesan_LG_Chem,H2-furnace,Daesan,LG Chem,NCC,1.0,600.0,0.5131799999999999,182400.0,230.45579205013328
NCC_HT_Electric_Yeosu_Lotte_Chemical,E-cracker,Yeosu,Lotte Chemical,NCC,1.0,1000.0,0.41249999999999964,280000.0,231.77869852505856
NCC_HT_Electric_Daesan_HD_Hyundai,E-cracker,Daesan,HD Hyundai Chemical,NCC,0.42424827,360.6110295,0.14875204966874986,95922.53384699998,235.9039450622145
