TechID,Product,Year,DeploymentLevel,AbatementMtCO2,AnnualCostUSD,DiscountedCostUSD,CostPerTonCO2,StartYear_Commercial,TRL
EE_001,All_Products,2025,0.95,14.819999999999999,-1022579999.9999999,-1022579999.9999999,-69,2025,9
EE_001,All_Products,2030,0.95,14.819999999999999,-1022579999.9999999,-882086490.7355582,-69,2025,9
EE_001,All_Products,2035,0.95,14.819999999999999,-1022579999.9999999,-760895555.4950929,-69,2025,9
EE_001,All_Products,2040,0.95,14.819999999999999,-1022579999.9999998,-656355190.1689352,-69,2025,9
EE_001,All_Products,2045,0.95,14.819999999999999,-1022579999.9999999,-566177752.7158619,-69,2025,9
EE_001,All_Products,2050,0.95,14.819999999999999,-1022579999.9999999,-488389903.01558733,-69,2025,9
HP_001,All_Products,2030,0.6,4.68937875751503,46893787.575150296,40450993.09536961,10,2025,8
HP_001,All_Products,2035,0.6,4.68937875751503,46893787.575150296,34893381.98112898,10,2025,8
HP_001,All_Products,2040,0.6,4.68937875751503,46893787.575150296,30099337.81379396,10,2025,8
HP_001,All_Products,2045,0.20297231,1.5863567314629259,15863567.314629257,8783272.59701304,10,2025,8
HP_001,All_Products,2050,0.36241192,2.8324779318637274,28324779.318637274,13528072.350688625,10,2025,8
TPA_001,TPA,2030,0.8,0.8320000000000001,142272000.00000003,122725076.97190379,171,2027,8
TPA_001,TPA,2035,0.8,0.8320000000000001,142272000.00000003,105863729.46018687,171,2027,8
TPA_001,TPA,2040,0.8,0.8320000000000001,142272000.00000003,91318982.9800258,171,2027,8
PE_002,LDPE,2030,0.15668611,0.407383886,85143232.17399998,73445300.00415276,209,2025,9
PE_002,LDPE,2035,0.8,2.08,434720000.00000006,323472506.6839043,209,2025,9
PE_002,LDPE,2040,0.8,2.08,434720000.00000006,279030225.772301,209,2025,9
ETH_003,Ethylene,2030,0.05,0.39,99060000.0,85450026.18109527,254,2025,9
ETH_003,Ethylene,2035,0.15,1.17,297180000.0,221129829.6290087,254,2025,9
ETH_003,Ethylene,2040,0.15,1.17,297180000.0,190748533.52735648,254,2025,9
PROP_002,Propylene,2030,0.05,0.312,82368000.0,71051360.3521548,264,2029,7
PROP_002,Propylene,2035,0.2,1.248,329472000.0,245158110.32885376,264,2029,7
PROP_002,Propylene,2040,0.2,1.248,329472000.0,211475539.53269127,264,2029,7
ETH_004,Ethylene,2035,0.4,3.12,1120080000.0,833444712.1975237,359,2025,9
ETH_004,Ethylene,2040,0.6,4.68,1680119999.9999998,1078405095.0601728,359,2025,9
PE_001,HDPE,2035,0.5,1.3,469300000.0,349203274.261033,361,2026,8
PE_001,HDPE,2040,0.9,2.3400000000000003,844740000.0000002,542206461.4439032,361,2026,8
PROP_001,Propylene,2030,0.048343392,0.30166276608,117045153.23903999,100964177.35358647,388,2028,6
PROP_001,Propylene,2035,0.29834339,1.8616627535999997,722325148.3967998,537477747.4989326,388,2028,6
PROP_001,Propylene,2040,0.54834339,3.4216627535999997,1327605148.3967998,852139225.923878,388,2028,6
PP_001,PP,2035,0.3,0.624,252720000.0,188047414.17270032,405,2029,6
PP_001,PP,2040,0.6,1.248,505440000.0,324422702.69219685,405,2029,6
H2_001,All_Products,2040,0.080413054,1.045369702,525820960.1059999,337504465.43564874,503,2030,6
