scenario,year,region,bau_emissions_tco2,emissions_tco2,abatement_tco2,abatement_mt,capex_usd,total_cost_usd,annual_capex_usd,annual_opex_usd,annual_new_energy_usd,annual_fuel_savings_usd,elec_demand_mwh,h2_demand_t
shaheen_ncc_h2_15c,2025,Daesan,17217485.657279864,17217485.657279864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9752183.842566231,0.0
shaheen_ncc_h2_15c,2025,Yeosu,22409780.310492523,22409780.310492523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15277933.230763266,0.0
shaheen_ncc_h2_15c,2025,Ulsan,19244286.3271435,19244286.3271435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13261121.675682966,0.0
shaheen_ncc_h2_15c,2025,Other,375812.18112740014,375812.18112740014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476689.4581816963,0.0
shaheen_ncc_h2_15c,2026,Daesan,19800108.505871844,13822231.053784594,5804897.259091253,5.804897259091254,2094288000.0,1731120091.1589427,83771519.99999999,75744059.99999999,3905564302.352438,2333959791.1934953,19067670.96859712,768775.0
shaheen_ncc_h2_15c,2026,Yeosu,25771247.357066404,21906942.704269707,3571230.3656693213,3.5712303656693214,1575159600.0,1182748890.309227,63006384.0,55801956.0,2661554666.7366366,1597614116.4274101,23987070.084056046,508760.0
shaheen_ncc_h2_15c,2026,Ulsan,22130929.276215024,19409321.15457768,2477448.888487735,2.477448888487735,1850469599.9999995,1045518218.2262417,74652479.99999999,62817047.999999985,2526438433.2866845,1618389743.0604424,24737413.228634566,434699.9999999999
shaheen_ncc_h2_15c,2026,Other,432184.00829651015,636212.5841671958,-213141.9872414026,-0.2131419872414026,162287999.99999997,30371348.348649606,6491519.999999999,4868639.999999999,61234801.46468506,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_15c,2027,Daesan,19800108.505871844,13490453.578931006,5963694.540948855,5.963694540948855,2007026000.0,1603065340.263022,80281039.99999999,72588057.49999999,3784156033.956517,2333959791.1934953,19067670.96859712,768775.0
shaheen_ncc_h2_15c,2027,Yeosu,25771247.357066404,21489567.684807133,3695531.0980045297,3.6955310980045297,1509527950.0,1095110124.9482398,60381118.0,53476874.5,2578866248.87565,1597614116.4274101,23987070.084056046,508760.0
shaheen_ncc_h2_15c,2027,Ulsan,22130929.276215024,18978890.164399434,2663720.645516363,2.663720645516363,1773688699.9999998,961480213.1814296,71558059.99999999,60209330.999999985,2448102565.241873,1618389743.0604424,24737413.228634566,434699.9999999999
shaheen_ncc_h2_15c,2027,Other,432184.00829651015,609767.0539127542,-195809.86835767806,-0.19580986835767805,155525999.99999997,28033149.619796764,6221039.999999999,4665779.999999999,59369942.735832214,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_15c,2028,Daesan,19800108.505871844,13158676.104077416,6122491.822806456,6.122491822806456,1919764000.0,1478579700.4025116,76790559.99999999,69432054.99999999,3666316876.596007,2333959791.1934953,19067670.96859712,768775.0
