scenario,year,region,abatement_tco2,total_cost_usd,mac_usd_per_tco2,facilities_deployed,total_facilities
shaheen_ncc_h2_rising_coupled,2025,Daesan,0.0,0.0,0.0,0,55
shaheen_ncc_h2_rising_coupled,2025,Yeosu,0.0,0.0,0.0,0,85
shaheen_ncc_h2_rising_coupled,2025,Ulsan,0.0,0.0,0.0,0,85
shaheen_ncc_h2_rising_coupled,2025,Other,0.0,0.0,0.0,0,18
shaheen_ncc_h2_rising_coupled,2026,Daesan,5405239.607079938,3548508024.7058597,656.4941210113834,3,55
shaheen_ncc_h2_rising_coupled,2026,Yeosu,2838670.0521535464,1863570200.7298799,656.4941210113833,2,85
shaheen_ncc_h2_rising_coupled,2026,Ulsan,4160984.1039243587,2562144828.1620345,615.7545340645721,4,85
shaheen_ncc_h2_rising_coupled,2026,Other,0.0,0.0,0.0,0,18
shaheen_ncc_h2_rising_coupled,2027,Daesan,5439569.919496927,3602111207.513857,662.2051487201021,3,55
shaheen_ncc_h2_rising_coupled,2027,Yeosu,2856699.304660972,1891720987.8916311,662.205148720102,2,85
shaheen_ncc_h2_rising_coupled,2027,Ulsan,4195956.107685254,2603121294.943684,620.3881137307046,4,85
shaheen_ncc_h2_rising_coupled,2027,Other,0.0,0.0,0.0,0,18
shaheen_ncc_h2_rising_coupled,2028,Daesan,7112346.55983373,4747643937.0154295,667.5214568181024,4,55
shaheen_ncc_h2_rising_coupled,2028,Yeosu,2874728.5571683985,1918942994.4376497,667.521456818102,2,85
shaheen_ncc_h2_rising_coupled,2028,Ulsan,4230928.11144615,2642803308.066036,624.6391426307441,4,85
shaheen_ncc_h2_rising_coupled,2028,Other,0.0,0.0,0.0,0,18
shaheen_ncc_h2_rising_coupled,2029,Daesan,7156952.612021791,4810076992.248213,672.0845104058051,4,55
shaheen_ncc_h2_rising_coupled,2029,Yeosu,4736328.849002904,3183213255.603006,672.0845104058048,3,85
shaheen_ncc_h2_rising_coupled,2029,Ulsan,4265900.115207044,2679700305.1718764,628.1676159315834,4,85
shaheen_ncc_h2_rising_coupled,2029,Other,0.0,0.0,0.0,0,18
shaheen_ncc_h2_rising_coupled,2030,Daesan,7201558.664209853,4870323542.538513,676.287421880341,4,55
shaheen_ncc_h2_rising_coupled,2030,Yeosu,4765848.246890711,3223083223.9626594,676.2874218803405,3,85
shaheen_ncc_h2_rising_coupled,2030,Ulsan,4300872.118967941,2715365830.669044,631.3523758806009,4,85
