year,scenario,region,facility_id,company,product,process,technology,capacity_tpy,production_t,bau_emissions_tco2,emissions_tco2,abatement_tco2,capex_usd,opex_usd_yr,fuel_cost_usd_yr,total_cost_usd,mac_usd_per_tco2,elec_demand_mwh,h2_demand_t,heat_demand_gj,tech_deployed
2025,shaheen_ncc_h2,Daesan,Lotte Chemical_Ethylene_Daesan,Lotte Chemical,Ethylene,Naphtha Cracker,NCC-H2,1100000,770000.0,1669357.0625931814,1669357.0625931814,0.0,0.0,0.0,0.0,0.0,0.0,16796.734077010522,0.0,30977543.769823983,0
2025,shaheen_ncc_h2,Daesan,HD Hyundai Chemical_Ethylene_Daesan,HD Hyundai Chemical,Ethylene,Naphtha Cracker,NCC-H2,850000,595000.0,1289957.73018564,1289957.73018564,0.0,0.0,0.0,0.0,0.0,0.0,12979.294514053585,0.0,23937192.9130458,0
2025,shaheen_ncc_h2,Daesan,LG Chem_Ethylene_Daesan,LG Chem,Ethylene,Naphtha Cracker,NCC-H2,1300000,910000.0,1972876.5285192144,1972876.5285192144,0.0,0.0,0.0,0.0,0.0,0.0,19850.68572737607,0.0,36609824.45524652,0
2025,shaheen_ncc_h2,Daesan,Hanwha TotalEnergies_Ethylene_Daesan,Hanwha TotalEnergies,Ethylene,Naphtha Cracker,NCC-H2,1525000,1067500.0,2314335.9276860016,2314335.9276860016,0.0,0.0,0.0,0.0,0.0,0.0,23286.381334037316,0.0,42946140.22634688,0
2025,shaheen_ncc_h2,Yeosu,Lotte Chemical_Ethylene_Yeosu,Lotte Chemical,Ethylene,Naphtha Cracker,NCC-H2,1230000,861000.0,1866644.715445103,1866644.715445103,0.0,0.0,0.0,0.0,0.0,0.0,18781.80264974813,0.0,34638526.21534863,0
2025,shaheen_ncc_h2,Yeosu,LG Chem_Ethylene_Yeosu,LG Chem,Ethylene,Naphtha Cracker,NCC-H2,1030000,721000.0,1563125.24951907,1563125.24951907,0.0,0.0,0.0,0.0,0.0,0.0,15727.85099938258,0.0,29006245.52992609,0
2025,shaheen_ncc_h2,Yeosu,Yeochon NCC_Ethylene_Yeosu,Yeochon NCC,Ethylene,Naphtha Cracker,NCC-H2,2285000,1599500.0,3467709.898204927,3467709.898204927,0.0,0.0,0.0,0.0,0.0,0.0,34891.3976054264,0.0,64348806.83095254,0
2025,shaheen_ncc_h2,Yeosu,GS Caltex_Ethylene_Yeosu,GS Caltex,Ethylene,Naphtha Cracker,NCC-H2,900000,630000.0,1365837.5966671484,1365837.5966671484,0.0,0.0,0.0,0.0,0.0,0.0,13742.782426644973,0.0,25345263.084401436,0
2025,shaheen_ncc_h2,Ulsan,Daehan Oil Chemical_Ethylene_Onsan,Daehan Oil Chemical,Ethylene,Naphtha Cracker,NCC-H2,900000,630000.0,1365837.5966671484,1365837.5966671484,0.0,0.0,0.0,0.0,0.0,0.0,13742.782426644973,0.0,25345263.084401436,0
2025,shaheen_ncc_h2,Ulsan,S-Oil_Ethylene_Onsan,S-Oil,Ethylene,Naphtha Cracker,NCC-H2,182000,127399.99999999999,276202.71399268997,276202.71399268997,0.0,0.0,0.0,0.0,0.0,0.0,2779.0960018326496,0.0,5125375.423734513,0
