year,fossil_emissions_mt,electricity_emissions_mt,total_emissions_mt,grid_ef_tco2_per_mwh,n_facilities_active,n_facilities_retired,remaining_capacity_fraction,capacity_multiplier,total_capacity_kt
2025,57.457916664485964,8.329744233038994,65.78766089752496,0.45,232,16,0.9595666859872484,1.0,96020.0
2026,39.703420415159805,5.559529965170254,45.262950380330054,0.435,228,20,0.948274139068215,0.691,65568.98999999999
2027,39.703420415159805,5.367822035336796,45.0712424504966,0.42,228,20,0.948274139068215,0.691,65568.98999999999
2028,39.703420415159805,5.172827573432793,44.876247988592596,0.405,226,22,0.9379809325844942,0.691,64857.259999999995
2029,34.19683493336594,4.523147529152646,38.71998246251859,0.39,215,33,0.8752523334599165,0.691,60519.852999999996
2030,34.19683493336594,4.336492212266121,38.533327145632065,0.375,207,41,0.8197789458957089,0.691,56684.111999999994
2031,34.19683493336594,4.1626515579570835,38.359486491323025,0.36,205,43,0.8178801990686148,0.691,56552.82199999999
2032,34.19683493336594,3.988630828057867,38.185465761423806,0.345,202,46,0.8152319469150361,0.691,56369.706999999995
2033,34.19683493336594,3.814945587420574,38.011780520786516,0.33,200,48,0.8137829032838326,0.691,56269.511999999995
2034,34.19683493336594,3.6411170741078562,37.837952007473795,0.315,198,50,0.8124837607179262,0.691,56179.68199999999
2035,34.19683493336594,3.4664731321260702,37.66330806549201,0.3,197,51,0.8098255151599945,0.691,55995.876
2036,34.17161465395137,3.116210355181227,37.2878250091326,0.27,194,54,0.8023404552995024,0.691,55478.316999999995
2037,34.17161465395137,2.7677019980563116,36.93931665200768,0.24,191,57,0.7910279215717626,0.691,54696.104999999996
2038,34.17161465395137,2.4212854311226257,36.592900085074,0.21,188,60,0.7871504806827494,0.691,54427.996999999996
2039,32.49348236093955,2.0158575075661354,34.50933986850569,0.18,179,69,0.7618871544780444,0.691,52681.149
2040,32.10791778625304,1.5921988509024116,33.70011663715545,0.15,159,89,0.6692582895289109,0.691,46276.27
2041,19.485159042500992,0.9217613104707848,20.406920352971778,0.12,133,115,0.5152299482341655,0.691,35625.886999999995
2042,15.683405955367244,0.5971862808741759,16.280592236241418,0.09,116,132,0.4589470949173545,0.691,31734.175
2043,15.683405955367244,0.3978848766617895,16.081290832029033,0.06,115,133,0.45489976615433814,0.691,31454.319999999996
2044,15.683405955367244,0.265256584441193,15.948662539808437,0.04,115,133,0.45489976615433814,0.691,31454.319999999996
2045,15.625322887624575,0.13217723865414607,15.757500126278721,0.02,111,137,0.4386105170587412,0.691,30327.989999999998
2046,14.805208111645321,0.06387033968480907,14.869078451330129,0.01,101,147,0.4133471908540363,0.691,28581.141999999996
2047,13.324087757199921,0.029660255808973152,13.353748013008893,0.005,86,162,0.32646453340795073,0.691,22573.588
2048,13.324087757199921,0.01185562912774751,13.335943386327669,0.002,82,166,0.3204684907960746,0.691,22158.987999999998
2049,13.324087757199921,0.005926358349002318,13.330014115548924,0.001,80,168,0.31826994183838664,0.691,22006.967999999997
2050,13.190231569956676,0.0,13.190231569956676,0.0,79,169,0.31637119501129257,0.691,21875.678
