year,target_mt,bau_mt,heat_pump_mt,ncc_h2_mt,ncc_elec_mt,re_ppa_mt,h2_consumption_kt,electricity_consumption_increase_twh,total_deployed_mt,actual_emissions_mt,shortfall_mt,cumulative_capex_musd
2025,66.2,66.19312069636608,0,0.0,0,0,0.0,0.0,0.0,66.19312069636608,0,0.0
2026,63.620000000000005,45.5466113345223,0,0.0,0,0,0.0,0.0,0.0,45.5466113345223,0,0.0
2027,61.04,45.35377626785563,0,0.0,0,0,0.0,0.0,0.0,45.35377626785563,0,0.0
2028,58.46,45.16094120118897,0,0.0,0,0,0.0,0.0,0.0,45.16094120118897,0,0.0
2029,55.879999999999995,44.9681061345223,0,0.0,0,0,0.0,0.0,0.0,44.9681061345223,0,0.0
2030,53.3,44.775271067855634,0,0.0,0,0,0.0,0.0,0.0,44.775271067855634,0,0.0
2031,50.699999999999996,44.58243600118897,0,0.0,0,0,0.0,0.0,0.0,44.58243600118897,0,0.0
2032,48.099999999999994,44.38960093452229,0,0.0,0,0,0.0,0.0,0.0,44.38960093452229,0,0.0
2033,45.5,44.19676586785563,0,0.0,0,0,0.0,0.0,0.0,44.19676586785563,0,0.0
2034,42.9,44.00393080118896,0,1.1039308011889588,0,0,0.6174109626336459,0.0,1.1039308011889588,42.9,0,1128.6588511355915
2035,40.3,43.81109573452229,0,3.511095734522293,0,0,1.963700075236182,0.0,3.511095734522293,40.3,0,3511.7521351355917
2036,37.62,43.42542560118896,0,5.805425601188965,0,0,3.2468823272868934,0.0,5.805425601188965,37.62,0,5708.802415455597
2037,34.94,43.03975546785563,0,8.09975546785563,0,0,4.5300645793376,0.0,8.09975546785563,34.94,0,7831.516408095595
2038,32.26,42.65408533452229,0,10.394085334522295,0,0,5.813246831388308,0.0,10.394085334522295,32.26,0,9879.894113055594
2039,29.58,42.26841520118896,0,12.68841520118896,0,0,7.096429083439016,0.0,12.68841520118896,29.58,0,11853.935530335593
2040,26.9,41.88274506785563,0,14.982745067855632,0,0,8.379611335489727,0.0,14.982745067855632,26.9,0,13753.640659935598
2041,24.2,41.497074934522296,0,17.297074934522296,0,0,9.673979269867058,0.0,17.297074934522296,24.2,0,15638.060610570263
2042,21.5,41.11140480118896,0,19.61140480118896,0,0,10.968347204244386,0.0,19.61140480118896,21.5,0,17490.635382239594
2043,18.8,40.725734667855626,0,21.925734667855625,0,0,12.262715138621715,0.0,21.925734667855625,18.8,0,19311.364974943594
2044,16.1,40.4686212456334,0,24.3686212456334,0,0,13.628982799571252,0.0,24.3686212456334,16.1,0,21199.618584102704
2045,13.4,40.21150782341119,0,26.81150782341119,0,0,14.9952504605208,0.0,26.81150782341119,13.399999999999999,0,23054.2580739516
2046,10.72,40.08295111230007,0,29.362951112300074,0,0,16.422232165715926,0.0,29.362951112300074,10.719999999999999,0,24956.20595922093
2047,8.04,40.01867275674452,0,31.978672756744523,0,0,17.88516373419716,0.0,31.978672756744523,8.04,0,26870.077172028043
2048,5.359999999999999,39.98010574341119,0,34.62010574341119,0,0,19.362475247992837,0.0,34.62010574341119,5.359999999999999,0,28766.414741815774
2049,2.6799999999999997,39.96725007230007,0,37.28725007230007,0,0,20.854166707102948,0.0,37.28725007230007,2.6799999999999997,0,30644.51109244617
2050,0.0,39.95439440118896,0,39.95439440118896,0,0,22.345858166213063,0.0,39.95439440118896,0.0,0,32485.90753711106
