year,target_mt,bau_mt,heat_pump_mt,ncc_h2_mt,ncc_elec_mt,re_ppa_mt,h2_consumption_kt,electricity_consumption_increase_twh,total_deployed_mt,actual_emissions_mt,shortfall_mt,cumulative_capex_musd
2025,66.2,66.19312069636608,0,0,0.0,0.0,0.0,0.0,0.0,66.19312069636608,0,0.0
2026,63.620000000000005,63.88696366263106,0,0,0.0,0.2669636626310563,0.0,0.0,0.2669636626310563,63.620000000000005,0,0.0
2027,61.04,61.862753232782424,0,0,0.0,0.822753232782425,0.0,0.0,0.822753232782425,61.04,0,0.0
2028,58.46,59.79051461801725,0,0,0.0,1.3305146180172471,0.0,0.0,1.3305146180172471,58.46,0,0.0
2029,55.879999999999995,57.800982701930074,0,0,0.0,1.920982701930079,0.0,0.0,1.920982701930079,55.879999999999995,0,0.0
2030,53.3,56.47404253592583,0,0,1.2530598339957564,1.920982701930079,0.0,6.641217120177509,3.1740425359258353,53.3,0,1563.818672826704
2031,50.699999999999996,54.567723691398285,0,0,1.9467409894682106,1.920982701930079,0.0,10.317727244181517,3.8677236913982895,50.699999999999996,0,2406.7800129568304
2032,48.099999999999994,52.67538378265056,0,0,2.65440108072049,1.920982701930079,0.0,14.068325727818596,4.575383782650569,48.099999999999994,0,3243.5173048535253
2033,45.5,50.797022809682666,0,0,3.376040107752587,1.920982701930079,0.0,17.89301257108871,5.297022809682666,45.5,0,4073.113530329624
2034,42.9,48.93264077249457,0,0,4.111658070564495,1.920982701930079,0.0,21.79178777399182,6.032640772494574,42.9,0,4894.651671197963
2035,40.3,47.77741165012249,0,0,5.556428948192412,1.920982701930079,0.0,29.449073425419787,7.477411650122491,40.3,0,6460.783302546625
2036,37.62,45.909995723026135,0,0,6.369013021096059,1.920982701930079,0.0,33.755769011809114,8.289995723026138,37.62,0,7314.971679982938
2037,34.94,44.058555722535296,0,0,7.197573020605219,1.920982701930079,0.0,38.14713700920766,9.118555722535298,34.94,0,8158.777183483067
2038,32.26,42.22309164864997,0,0,8.042108946719893,1.920982701930079,0.0,42.62317741761543,9.963091648649971,32.26,0,8991.15179226169
2039,29.58,40.40360350137014,0,0,8.902620799440065,1.920982701930079,0.0,47.183890237032344,10.823603501370144,29.58,0,9811.04748553347
2040,26.9,36.99689260130588,0,0,8.902620799440065,1.920982701930079,0.0,47.183890237032344,10.823603501370144,26.173289099935737,0,9811.04748553347
2041,24.2,36.812554986626985,0,0,10.691572284696907,1.920982701930079,0.0,56.665333108893606,12.612554986626986,24.2,0,11426.82846701745
2042,21.5,36.62821737194808,0,0,13.207234670018003,1.920982701930079,0.0,69.99834375109542,15.128217371948082,21.5,0,13656.71160536607
2043,18.8,36.44387975726919,0,0,15.722897055339107,1.920982701930079,0.0,83.33135439329727,17.643879757269186,18.8,0,15844.331615641302
2044,16.1,36.25954214259029,0,0,18.23855944066021,1.920982701930079,0.0,96.66436503549912,20.15954214259029,16.1,0,17989.68849784314
2045,13.4,36.07520452791139,0,0,20.75422182598131,1.920982701930079,0.0,109.99737567770096,22.67520452791139,13.399999999999999,0,20092.78225197158
2046,10.72,35.95999351873708,0,0,23.319010816807,1.920982701930079,0.0,123.5907573290771,25.23999351873708,10.719999999999999,0,22193.857393255985
2047,8.04,35.84478250956276,0,0,25.883799807632684,1.920982701930079,0.0,137.1841389804532,27.804782509562763,8.04,0,24251.844079494513
2048,5.359999999999999,35.72957150038845,0,0,28.448588798458374,1.920982701930079,0.0,150.7775206318294,30.369571500388453,5.359999999999999,0,26266.742310687176
2049,2.6799999999999997,35.614360491214136,0,0,31.013377789284057,1.920982701930079,0.0,164.3709022832055,32.934360491214136,2.6799999999999997,0,28238.55208683396
2050,0.0,35.499149482039826,0,0,33.57816678010975,1.920982701930079,0.0,177.96428393458166,35.499149482039826,0.0,0,30167.273407934877
