year,fossil_emissions_mt,electricity_emissions_mt,total_emissions_mt,grid_ef_tco2_per_mwh,n_facilities_active,n_facilities_retired,remaining_capacity_fraction,capacity_multiplier,total_capacity_kt
2025,57.82112069636608,8.372000000000002,66.19312069636608,0.436,248,0,1.0,1.0,100066.0
2026,66.49428880082098,9.24798770642202,75.742276507243,0.4188,248,0,1.0,1.15,115075.9
2027,66.49428880082098,8.868175412844039,75.36246421366502,0.4016,248,0,1.0,1.15,115075.9
2028,66.49428880082098,8.488363119266054,74.98265192008704,0.3843999999999999,248,0,1.0,1.15,115075.9
2029,66.49428880082098,8.108550825688072,74.60283962650905,0.3671999999999999,248,0,1.0,1.15,115075.9
2030,66.49428880082098,7.728738532110092,74.22302733293107,0.35,248,0,1.0,1.15,115075.9
2031,66.49428880082098,7.4195889908256865,73.91387779164667,0.3359999999999999,248,0,1.0,1.15,115075.9
2032,66.49428880082098,7.1104394495412855,73.60472825036227,0.322,248,0,1.0,1.15,115075.9
2033,66.49428880082098,6.801289908256881,73.29557870907786,0.308,248,0,1.0,1.15,115075.9
2034,66.49428880082098,6.492140366972477,72.98642916779346,0.294,248,0,1.0,1.15,115075.9
2035,66.49428880082098,6.182990825688075,72.67727962650906,0.28,248,0,1.0,1.15,115075.9
2036,66.49428880082098,5.829677064220185,72.32396586504117,0.264,248,0,1.0,1.15,115075.9
2037,66.49428880082098,5.476363302752294,71.97065210357327,0.248,248,0,1.0,1.15,115075.9
2038,66.49428880082098,5.123049541284405,71.61733834210538,0.232,248,0,1.0,1.15,115075.9
2039,66.49428880082098,4.769735779816514,71.2640245806375,0.216,248,0,1.0,1.15,115075.9
2040,66.49428880082098,4.416422018348625,70.91071081916962,0.2,248,0,1.0,1.15,115075.9
2041,66.49428880082098,4.063108256880734,70.55739705770172,0.184,248,0,1.0,1.15,115075.9
2042,66.49428880082098,3.7097944954128446,70.20408329623383,0.168,248,0,1.0,1.15,115075.9
2043,66.49428880082098,3.356480733944955,69.85076953476594,0.152,248,0,1.0,1.15,115075.9
2044,66.49428880082098,3.0031669724770644,69.49745577329804,0.136,248,0,1.0,1.15,115075.9
2045,66.49428880082098,2.649853211009175,69.14414201183016,0.12,248,0,1.0,1.15,115075.9
2046,66.49428880082098,2.429032110091743,68.92332091091274,0.11,248,0,1.0,1.15,115075.9
2047,66.49428880082098,2.2082110091743123,68.70249980999529,0.1,248,0,1.0,1.15,115075.9
2048,66.49428880082098,1.9873899082568807,68.48167870907787,0.09,248,0,1.0,1.15,115075.9
2049,66.49428880082098,1.7665688073394499,68.26085760816044,0.08,248,0,1.0,1.15,115075.9
2050,66.49428880082098,1.5457477064220186,68.040036507243,0.07,248,0,1.0,1.15,115075.9
