Year,Baseline_Emissions_Mt,Target_Emissions_Mt,Actual_Emissions_Mt,Required_Abatement_Mt,Achieved_Abatement_Mt,Shortfall_Mt,Target_Achievement_Pct
2023,18.7085,18.7085,18.7085,0.0,0.0,0.0,100.0
2024,18.7085,18.7085,18.7085,0.0,0.0,0.0,100.0
2025,18.7085,18.7085,18.7085,0.0,0.0,0.0,100.0
2026,18.7085,18.7085,18.7085,0.0,0.0,0.0,100.0
2027,18.7085,18.7085,18.7085,0.0,0.0,0.0,100.0
2028,18.7085,18.7085,18.7085,0.0,0.0,0.0,100.0
2029,18.7085,18.7085,18.7085,0.0,0.0,0.0,100.0
2030,18.7085,15.902225,15.902225000000001,2.806275000000001,2.806275,0.0,99.99999999999996
2031,18.7085,15.2474275,15.2474275,3.4610725,3.4610725,0.0,100.0
2032,18.7085,14.592630000000002,14.59263,4.115869999999999,4.11587,0.0,100.00000000000003
2033,18.7085,13.937832499999999,13.9378325,4.770667500000002,4.7706675,0.0,99.99999999999997
2034,18.7085,13.283035,13.433340000000001,5.425465000000001,5.27516,0.150305,97.2296383812263
2035,18.7085,12.628237500000001,13.33662,6.0802625,5.37188,0.7083825,88.34947504322388
2036,18.7085,11.97344,13.2399,6.735060000000001,5.4686,1.26646,81.19601013205524
2037,18.7085,11.318642500000001,13.143180000000001,7.3898575,5.56532,1.8245375,75.3102478633722
2038,18.7085,10.663845,13.04646,8.044655,5.66204,2.382615,70.38263294075384
2039,18.7085,10.0090475,12.949740000000002,8.699452500000001,5.75876,2.9406925,66.19680951186294
2040,18.7085,9.35425,12.85302,9.35425,5.85548,3.49877,62.597001363016815
2041,18.7085,8.792995,12.7563,9.915505000000001,5.9522,3.963305,60.02921686792553
2042,18.7085,8.23174,12.659580000000002,10.47676,6.04892,4.42784,57.736552140165465
2043,18.7085,7.670485,12.56286,11.038015000000001,6.14564,4.892375,55.67703975760134
2044,18.7085,7.10923,12.466140000000001,11.59927,6.24236,5.35691,53.81683502496277
2045,18.7085,6.547975,12.369420000000002,12.160525,6.33908,5.821445,52.128341498413924
2046,18.7085,5.98672,12.2727,12.72178,6.4358,6.28598,50.58883269479585
2047,18.7085,5.425465000000001,12.175980000000001,13.283035,6.53252,6.750515,49.1794232266948
2048,18.7085,4.86421,12.079260000000001,13.84429,6.62924,7.21505,47.88429020195329
2049,18.7085,4.302955,11.98254,14.405545,6.72596,7.679585,46.69007663368515
2050,18.7085,3.7417000000000002,11.88582,14.966800000000001,6.82268,8.14412,45.58542908303712
